1540,141.06,0.100,85.0,0,0.030
1550,-183.24,0.100,83.0,0,0.040
1560,225.09,0.100,82.0,0,0.040
1570,80.77,0.100,78.0,0,0.040
1580,386.71,0.100,78.0,0,0.040
1590,8.86,0.100,73.0,0,0.033
1600,407.01,0.100,75.0,0,0.040
1610,-10.40,0.100,71.0,0,0.034
1620,162.96,0.100,70.0,0,0.040
1630,284.85,0.100,69.0,0,0.041
1640,81.37,0.100,68.0,0,0.030
1650,184.27,0.100,72.0,0,0.040
1660,301.11,0.100,73.0,0,0.040
1670,253.80,0.100,75.0,0,0.040
1680,129.24,0.100,72.0,0,0.030
1690,178.27,0.100,74.0,0,0.040
1700,91.25,0.100,70.0,0,0.038
1710,267.99,0.100,73.0,0,0.040
1720,133.00,0.100,73.0,0,0.040
1730,92.53,0.100,71.0,0,0.041
1740,427.44,0.100,75.0,0,0.040
1750,145.25,0.100,75.0,0,0.040
1760,389.14,0.100,76.0,0,0.040
1770,366.48,0.100,78.0,0,0.040
1780,94.79,0.100,77.0,0,0.030
1790,216.57,0.100,78.0,0,0.030
1800,159.20,0.100,80.0,0,0.030
1810,246.92,0.100,81.0,0,0.040
1820,359.30,0.100,83.0,0,0.040
1830,-19.64,0.100,82.0,0,0.030
1840,-9.88,0.100,77.0,0,0.030
1850,372.44,0.100,80.0,0,0.040
1860,-183.89,0.100,73.0,0,0.030
1870,653.29,0.100,68.0,0,0.030
1880,247.43,0.100,70.0,0,0.030
1890,58.70,0.100,68.0,0,0.040
1900,95.54,0.100,66.0,0,0.030
1910,137.99,0.100,64.0,0,0.030
1920,-104.42,0.100,59.0,0,0.040
1930,56.96,0.100,60.0,0,0.040
1940,-69.76,0.100,59.0,0,0.030
1950,-376.93,0.100,50.0,0,0.030
1960,132.99,0.100,54.0,0,0.040
1970,-101.20,0.100,53.0,0,0.030
1980,-461.59,0.100,45.0,0,0.030
1990,488.33,0.100,49.0,0,0.040
