2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 88/139: grid_20251201_172119_399864_000879.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 89/139: grid_20251201_172119_399864_000889.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 90/139: grid_20251201_172119_399864_000899.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 91/139: grid_20251201_172119_399864_000909.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 92/139: grid_20251201_172119_399864_000919.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 93/139: grid_20251201_172119_399864_000929.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 94/139: grid_20251201_172119_399864_000939.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 95/139: grid_20251201_172119_399864_000949.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 96/139: grid_20251201_172119_399864_000959.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 97/139: grid_20251201_172119_399864_000969.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 98/139: grid_20251201_172119_399864_000979.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 99/139: grid_20251201_172119_399864_000989.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 100/139: grid_20251201_172119_399864_000999.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 101/139: grid_20251201_172119_399864_001009.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 102/139: grid_20251201_172119_399864_001019.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 103/139: grid_20251201_172119_399864_001029.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 104/139: grid_20251201_172119_399864_001039.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 105/139: grid_20251201_172119_399864_001049.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 106/139: grid_20251201_172119_399864_001059.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 107/139: grid_20251201_172119_399864_001069.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 108/139: grid_20251201_172119_399864_001079.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 109/139: grid_20251201_172119_399864_001089.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 110/139: grid_20251201_172119_399864_001099.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 111/139: grid_20251201_172119_399864_001109.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 112/139: grid_20251201_172119_399864_001119.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 113/139: grid_20251201_172119_399864_001129.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 114/139: grid_20251201_172119_399864_001139.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 115/139: grid_20251201_172119_399864_001149.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 116/139: grid_20251201_172119_399864_001159.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 117/139: grid_20251201_172119_399864_001169.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 118/139: grid_20251201_172119_399864_001179.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 119/139: grid_20251201_172119_399864_001189.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 120/139: grid_20251201_172119_399864_001199.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 121/139: grid_20251201_172119_399864_001209.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 122/139: grid_20251201_172119_399864_001219.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 123/139: grid_20251201_172119_399864_001229.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 124/139: grid_20251201_172119_399864_001239.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 125/139: grid_20251201_172119_399864_001249.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 126/139: grid_20251201_172119_399864_001259.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 127/139: grid_20251201_172119_399864_001269.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 128/139: grid_20251201_172119_399864_001279.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 129/139: grid_20251201_172119_399864_001289.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 130/139: grid_20251201_172119_399864_001299.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 131/139: grid_20251201_172119_399864_001309.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 132/139: grid_20251201_172119_399864_001319.npy
