2025-12-22 10:57:59 | MainThread   | INFO     | [3.59] 模拟时间:0.57 深度:0.030 弹性变形:-0.0811  执行器力: 2.16 0.02N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.65] 模拟时间:0.58 深度:0.030 弹性变形:-0.0816  执行器力: 2.15 0.03N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.72] 模拟时间:0.59 深度:0.030 弹性变形:-0.0823  执行器力: 2.15 0.04N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.78] 模拟时间:0.60 深度:0.030 弹性变形:-0.0829  执行器力: 2.14 0.04N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.85] 模拟时间:0.61 深度:0.030 弹性变形:-0.0833  执行器力: 2.14 0.05N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.91] 模拟时间:0.62 深度:0.030 弹性变形:-0.0836  执行器力: 2.13 0.05N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [3.97] 模拟时间:0.63 深度:0.030 弹性变形:-0.0839  执行器力: 2.13 0.06N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [4.04] 模拟时间:0.64 深度:0.030 弹性变形:-0.0844  执行器力: 2.12 0.06N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [4.10] 模拟时间:0.65 深度:0.029 弹性变形:-0.0849  执行器力: 2.12 0.07N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [4.17] 模拟时间:0.66 深度:0.029 弹性变形:-0.0854  执行器力: 2.11 0.07N 速度: -0.0100m/s
2025-12-22 10:57:59 | MainThread   | INFO     | [4.23] 模拟时间:0.67 深度:0.029 弹性变形:-0.0860  执行器力: 2.10 0.08N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.30] 模拟时间:0.68 深度:0.029 弹性变形:-0.0865  执行器力: 2.10 0.08N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.36] 模拟时间:0.69 深度:0.029 弹性变形:-0.0871  执行器力: 2.09 0.09N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.43] 模拟时间:0.70 深度:0.029 弹性变形:-0.0879  执行器力: 2.09 0.10N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.49] 模拟时间:0.71 深度:0.029 弹性变形:-0.0887  执行器力: 2.08 0.10N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.56] 模拟时间:0.72 深度:0.029 弹性变形:-0.0895  执行器力: 2.07 0.11N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.62] 模拟时间:0.73 深度:0.029 弹性变形:-0.0904  执行器力: 2.07 0.12N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.69] 模拟时间:0.74 深度:0.029 弹性变形:-0.0912  执行器力: 2.06 0.12N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.77] 模拟时间:0.75 深度:0.028 弹性变形:-0.0921  执行器力: 2.05 0.13N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.84] 模拟时间:0.76 深度:0.028 弹性变形:-0.0930  执行器力: 2.04 0.14N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.90] 模拟时间:0.77 深度:0.028 弹性变形:-0.0939  执行器力: 2.04 0.15N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [4.97] 模拟时间:0.78 深度:0.028 弹性变形:-0.0949  执行器力: 2.03 0.15N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [5.05] 模拟时间:0.79 深度:0.028 弹性变形:-0.0959  执行器力: 2.02 0.16N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [5.11] 模拟时间:0.80 深度:0.028 弹性变形:-0.0969  执行器力: 2.01 0.17N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [5.18] 模拟时间:0.81 深度:0.028 弹性变形:-0.0980  执行器力: 2.01 0.18N 速度: -0.0100m/s
2025-12-22 10:58:00 | MainThread   | INFO     | [5.24] 模拟时间:0.82 深度:0.028 弹性变形:-0.0991  执行器力: 2.00 0.18N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.31] 模拟时间:0.83 深度:0.028 弹性变形:-0.1002  执行器力: 1.99 0.19N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.37] 模拟时间:0.84 深度:0.028 弹性变形:-0.1013  执行器力: 1.98 0.20N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.44] 模拟时间:0.85 深度:0.027 弹性变形:-0.1025  执行器力: 1.98 0.21N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.50] 模拟时间:0.86 深度:0.027 弹性变形:-0.1036  执行器力: 1.97 0.22N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.57] 模拟时间:0.87 深度:0.027 弹性变形:-0.1048  执行器力: 1.96 0.22N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.63] 模拟时间:0.88 深度:0.027 弹性变形:-0.1059  执行器力: 1.95 0.23N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.70] 模拟时间:0.89 深度:0.027 弹性变形:-0.1072  执行器力: 1.94 0.24N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.77] 模拟时间:0.90 深度:0.027 弹性变形:-0.1085  执行器力: 1.93 0.25N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.84] 模拟时间:0.91 深度:0.027 弹性变形:-0.1099  执行器力: 1.92 0.26N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.91] 模拟时间:0.92 深度:0.027 弹性变形:-0.1112  执行器力: 1.91 0.28N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [5.98] 模拟时间:0.93 深度:0.027 弹性变形:-0.1125  执行器力: 1.90 0.29N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [6.05] 模拟时间:0.94 深度:0.027 弹性变形:-0.1139  执行器力: 1.89 0.30N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [6.12] 模拟时间:0.95 深度:0.026 弹性变形:-0.1153  执行器力: 1.88 0.31N 速度: -0.0100m/s
2025-12-22 10:58:01 | MainThread   | INFO     | [6.19] 模拟时间:0.96 深度:0.026 弹性变形:-0.1167  执行器力: 1.87 0.32N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.26] 模拟时间:0.97 深度:0.026 弹性变形:-0.1180  执行器力: 1.86 0.33N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.32] 模拟时间:0.98 深度:0.026 弹性变形:-0.1194  执行器力: 1.85 0.33N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.39] 模拟时间:0.99 深度:0.026 弹性变形:-0.1208  执行器力: 1.84 0.34N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.46] 模拟时间:1.00 深度:0.026 弹性变形:-0.1222  执行器力: 1.83 0.35N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.53] 模拟时间:1.01 深度:0.026 弹性变形:-0.1236  执行器力: 1.82 0.36N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.60] 模拟时间:1.02 深度:0.026 弹性变形:-0.1250  执行器力: 1.81 0.37N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.67] 模拟时间:1.03 深度:0.026 弹性变形:-0.1264  执行器力: 1.80 0.38N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.74] 模拟时间:1.04 深度:0.026 弹性变形:-0.1279  执行器力: 1.79 0.39N 速度: -0.0100m/s
2025-12-22 10:58:02 | MainThread   | INFO     | [6.81] 模拟时间:1.05 深度:0.025 弹性变形:-0.1293  执行器力: 1.79 0.40N 速度: -0.0100m/s
