2025-12-25 22:09:26 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=1
2025-12-25 22:09:51 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=2
2025-12-25 22:09:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=3
2025-12-25 22:09:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=4
2025-12-25 22:10:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=5
2025-12-25 22:10:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=1
2025-12-25 22:11:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=2
2025-12-25 22:11:41 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=3
2025-12-25 22:11:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=4
2025-12-25 22:12:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010, TYPE=5
2025-12-25 22:13:01 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=1
2025-12-25 22:13:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=2
2025-12-25 22:13:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=3
2025-12-25 22:13:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=4
2025-12-25 22:13:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=5
2025-12-25 22:14:14 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=1
2025-12-25 22:14:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=2
2025-12-25 22:14:22 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=3
2025-12-25 22:14:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=4
2025-12-25 22:14:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020, TYPE=5
2025-12-25 22:14:36 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=1
2025-12-25 22:14:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=2
2025-12-25 22:15:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=3
2025-12-25 22:15:08 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=4
2025-12-25 22:15:16 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=5
2025-12-25 22:15:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=1
2025-12-25 22:15:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=2
2025-12-25 22:16:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=3
2025-12-25 22:16:23 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=4
2025-12-25 22:16:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030, TYPE=5
2025-12-25 22:17:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=1
2025-12-25 22:17:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=2
2025-12-25 22:18:03 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=3
2025-12-25 22:18:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=4
2025-12-25 22:18:51 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=5
2025-12-25 22:18:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=1
2025-12-25 22:19:14 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=2
2025-12-25 22:19:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=3
2025-12-25 22:19:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=4
2025-12-25 22:19:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040, TYPE=5
2025-12-25 22:20:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=1
2025-12-25 22:20:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=2
2025-12-25 22:20:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=3
2025-12-25 22:20:24 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=4
2025-12-25 22:20:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=5
2025-12-25 22:20:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=1
2025-12-25 22:21:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=2
2025-12-25 22:21:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=3
2025-12-25 22:21:47 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=4
2025-12-25 22:22:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050, TYPE=5
2025-12-25 22:22:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060, TYPE=1
2025-12-25 22:22:33 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060, TYPE=2
2025-12-25 22:22:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060, TYPE=3
2025-12-25 22:22:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060, TYPE=4
2025-12-25 22:23:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060, TYPE=5
2025-12-25 22:23:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=1
2025-12-25 22:23:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=2
2025-12-25 22:23:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=3
2025-12-25 22:23:57 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=4
2025-12-25 22:24:04 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=5
2025-12-25 22:24:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=1
2025-12-25 22:24:35 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=2
2025-12-25 22:24:49 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=3
2025-12-25 22:25:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=4
2025-12-25 22:25:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=5
2025-12-25 22:25:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=1
2025-12-25 22:25:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=2
2025-12-25 22:25:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=3
2025-12-25 22:25:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=4
2025-12-25 22:25:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=5
2025-12-25 22:26:12 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=1
2025-12-25 22:26:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=2
2025-12-25 22:26:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=3
2025-12-25 22:26:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=4
2025-12-25 22:26:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=5
2025-12-25 22:26:52 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=1
2025-12-25 22:26:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=2
2025-12-25 22:27:05 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=3
2025-12-25 22:27:06 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=4
2025-12-25 22:27:11 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=5
2025-12-25 22:27:15 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=1
2025-12-25 22:27:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=2
2025-12-25 22:27:20 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=3
2025-12-25 22:27:29 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=4
2025-12-25 22:27:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=5
2025-12-25 22:27:55 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=1
